coords, x, y 
277,-11.218669,-11.666335
278,-10.598061,-13.678551
279,-10.418563,-12.209446
280,-11.749553,-11.245223
281,-12.333245,-9.249691
282,-3.711736,-29.545070
283,-9.967284,-9.419638
284,-11.235281,-5.749536
285,-12.741076,-11.901637
286,-10.692502,-9.441992
287,-10.299349,-12.087020
288,-11.402585,-13.825133
289,-12.744681,-13.564047
290,-11.460247,-5.100195
291,-8.938167,-19.474261
292,-10.007382,-11.303109
293,-10.643594,-10.708954
294,-6.242595,-19.260943
295,-5.667605,-11.720526
296,-10.633727,-3.474589
297,-4.831571,-6.025182
298,3.543765,-1.444187
299,-0.507944,4.610042
300,4.896295,2.056708
301,-0.075423,4.826509
302,5.874822,8.625575
303,13.884501,11.349461
304,4.189739,8.448019
305,2.056319,9.638514
306,6.990213,15.822559
307,-0.961115,16.707803
308,-1.018114,16.817685
309,-2.035175,17.741707
310,-3.784585,16.158868
311,-5.867720,18.721566
312,-11.200815,28.713640
313,-4.923739,20.296846
314,-5.704171,17.879607
315,-1.868363,17.768763
316,-1.752972,16.238168
317,5.253997,16.510955
318,4.704940,15.008899
319,6.240463,11.613904
320,-1.207596,7.219985
321,4.915019,15.456059
322,11.992697,8.902180
323,3.031496,11.097758
324,0.376317,9.708722
325,8.042816,5.187068
326,-3.098457,5.447723
327,-4.211440,0.442255
328,-2.946321,-6.508756
329,-7.361103,-7.298791
330,-7.570973,-9.560919
331,-8.616899,-17.684486
332,-9.737589,-5.801674
333,-12.462892,-6.333686
334,-9.175776,-21.833610
335,-10.585384,-18.253274
336,-10.845199,-13.922117
337,-9.084111,-4.258054
338,-10.943636,-5.205809
339,-13.156592,-17.542402
340,-12.891089,-18.719211
341,-12.081534,-9.090213
342,-9.506025,-4.902960
343,-9.133517,-16.823495
344,-6.470532,-23.239674
345,-6.466400,-19.011148
346,-5.987338,-5.976982
347,-8.153913,-14.778862
348,0.784047,-31.909163
349,0.948815,-31.360551
350,-5.149187,-3.720752
351,-6.697727,-2.719305
352,-5.071309,-4.394316
353,-4.054259,-2.982724
354,-5.252026,-1.483269
355,-3.976191,-2.043848
356,-8.437881,0.166195
357,-0.337388,1.386339
358,-1.647984,3.058585
359,0.111570,4.688619
360,6.598217,3.341753
361,-0.928871,4.354894
362,-2.514309,5.772014
363,6.049882,4.050478
364,7.051083,3.974482
365,2.600633,3.802090
366,2.815736,4.054435
367,2.906000,4.285825
368,2.698479,5.082063
369,4.886585,5.878596
370,5.205817,5.925486
371,3.152588,6.506683
372,3.738504,8.526201
373,4.429776,7.056172
374,-0.279485,5.230102
375,2.654973,8.171593
376,9.718382,13.829851
377,-1.098256,8.799126
378,6.249164,8.936715
379,6.034710,10.756045
380,0.518190,9.362006
381,6.169576,4.412211
382,6.068533,3.567305
383,4.897400,2.451605
384,-0.804739,-4.208163
385,-5.962637,-19.506865
386,-10.531293,-19.988595
387,-8.041714,-3.651296
388,-7.580786,-19.453431
389,-10.580759,-15.739877
390,-8.943027,-10.487759
391,-9.573246,-5.169533
392,-11.915069,-18.382493
393,-11.171978,-3.382704
394,-9.181090,-18.756709
395,-10.736367,-5.542182
396,-10.312418,-3.791397
397,-9.521821,-14.965264
398,-10.643699,-8.232246
399,-10.423640,-2.814904
400,-11.447051,-17.763919
401,-12.325223,-16.489023
402,-10.853601,-11.076059
403,-11.654584,-12.354514
404,-10.134319,-3.758703
405,-14.311228,-15.396045
406,-14.037605,-16.387094
407,-9.197838,-1.997156
408,-9.471313,-1.493247
409,-10.490361,-10.842787
410,-7.158630,-3.873937
411,-6.255580,-3.293604
412,-5.310195,0.409352
413,-3.050948,5.062038
414,-1.220215,4.904687
415,8.402687,4.955023
416,-0.387514,5.420263
417,3.297160,9.630853
418,8.569519,8.016669
419,0.752124,8.032769
420,-3.952619,6.675292
421,0.147761,12.975111
422,-2.415255,13.319821
423,-3.356839,16.325533
424,-4.043758,20.259148
425,-4.643030,20.088168
426,-5.099140,20.373423
427,-5.602044,19.902434
428,-2.900182,18.893124
429,-3.286102,8.723644
430,-1.193326,13.636516
431,2.953884,11.632206
432,-0.036131,8.697504
433,14.154077,13.695050
434,3.826023,6.886965
435,-2.401882,6.247573
436,10.060812,1.172160
437,3.862711,6.476324
438,0.766712,6.843392
439,0.513790,4.257023
440,-0.423847,4.541918
441,-7.754806,-1.208627
442,-4.552751,-4.799166
443,-4.209337,-6.318584
444,-9.053284,-2.105715
445,-9.090219,-6.191437
446,-7.328491,-21.339029
447,-11.715197,-7.514398
448,-10.858149,-9.541407
449,-6.445530,-27.006393
450,-11.338505,-4.537539
451,-9.331539,-10.448121
452,-6.319961,-26.931191
453,-11.284713,-10.873765
454,-11.611020,-10.104502
455,-9.708517,-8.649653
456,-10.817108,-3.247540
457,-9.400549,-19.942099
458,-7.774663,-8.408148
459,-7.469144,-19.702640
460,-6.590915,-23.294018
461,-5.472917,-9.666120
462,-2.089144,-7.843376
463,-2.465154,-20.958821
464,-7.170098,-7.734227
465,-7.366131,-0.800509
466,-4.450010,-2.353876
467,-8.213176,-0.900814
468,-2.634228,-6.298832
469,-6.688720,-0.839555
470,-5.352953,0.273693
471,3.294595,0.121148
472,5.177090,4.056043
473,3.153822,1.602162
474,1.246987,3.917481
475,0.225698,4.456207
476,-3.029056,5.473773
477,0.473246,5.239746
478,16.040144,10.113295
479,5.848465,3.067658
480,-0.191246,4.822715
481,5.134054,4.128556
482,3.611565,7.073603
483,2.231710,5.224987
484,0.041941,2.298459
485,1.217269,4.462421
486,3.714266,7.309356
487,-0.497543,5.173503
488,7.391735,11.680299
489,-2.561499,6.831327
490,2.206008,9.607382
491,0.455428,10.371039
492,-0.143556,7.242736
493,-1.565606,6.747776
494,5.033791,6.982036
495,0.265754,4.590232
496,8.881001,5.804879
497,1.299309,4.422411
498,-4.526716,-2.001676
499,-4.728230,-5.797491
500,-6.203182,-2.859051
501,-9.025592,-0.922924
502,-6.556991,-27.049547
503,-10.545092,-20.007763
504,-9.100672,-1.362669
505,-9.478089,-2.815613
506,-12.758385,-9.986374
507,-9.588102,-2.511237
508,-10.801936,-18.987795
509,-3.071309,-29.014664
510,-11.225213,-10.995885
511,-12.012827,-6.410468
512,-14.059443,-11.743476
513,-12.104680,-7.827421
514,-12.527615,-14.257489
515,-8.499810,-19.151370
516,-9.991428,-11.088472
517,-10.536549,-5.176190
518,-12.793476,-18.919646
519,-10.947074,-4.277616
520,-11.440709,-10.504939
521,-9.952948,-19.110370
522,-9.288677,-1.346700
523,-10.687287,-19.189879
524,-4.966291,-9.523062
525,-8.609262,-1.584311
526,-3.348602,2.301552
527,3.289378,1.494708
528,-1.222891,5.076833
529,6.085981,8.341501
530,14.662940,10.824768
531,-2.475673,6.821507
532,-2.670132,8.681211
533,14.183355,12.465913
534,1.997587,10.312327
535,4.691960,15.934953
536,-0.181095,14.269493
537,-1.825893,14.958928
538,-7.012544,17.784244
539,-10.757003,29.051743
540,-10.865600,29.186626
541,-5.979759,18.559767
542,5.857461,19.399896
543,2.800701,11.110895
544,3.104887,14.603462
545,7.048306,13.686472
546,5.639508,8.781907
547,-0.492078,7.091603
548,5.850280,8.505170
549,5.994678,6.620243
550,1.779696,7.341404
551,7.665233,6.689231
552,-0.670761,5.123934
553,0.938837,5.467763
554,2.825237,1.283930
555,-3.764883,-3.000935
556,-8.055802,-7.360495
557,-6.845783,-19.341446
558,-7.939987,-11.296461
559,-9.009554,-2.772496
560,-3.490524,-28.933829
561,-9.902315,-16.312883
562,-9.814799,-3.664413
563,-12.168984,-15.789886
564,-10.413487,-7.416516
565,-11.570143,-10.280305
566,-10.001615,-21.758609
567,-10.718956,-13.230848
568,-9.539668,-2.315457
569,-9.769344,-8.297806
570,-10.505709,-9.033879
571,-2.668243,-5.970952
572,-8.188130,-14.931542
573,-8.043716,-0.641247
574,-4.166535,-2.230260
575,-1.713230,-5.127410
576,-2.449292,-7.245067
577,-0.508658,-4.985184
578,-4.652932,-1.325594
579,-1.744328,-5.881796
580,-4.170387,-2.288682
581,-7.158225,0.674202
582,-4.293380,4.834203
583,-3.496231,2.890589
584,2.148827,1.047410
585,-1.757024,4.873293
586,11.479953,6.047439
587,5.939615,3.455547
588,1.371488,4.029555
589,2.551804,3.153696
590,2.560374,3.259447
591,-2.191741,6.150201
592,5.958412,7.604337
593,6.099037,6.609483
594,6.901344,8.061838
595,-1.190601,4.915367
596,3.571728,3.248486
597,-2.334658,6.299720
598,0.075870,8.093429
599,13.596195,10.096023
600,2.492876,7.088176
601,2.078928,7.774089
602,10.421097,7.599237
603,4.178550,10.736727
604,-0.344581,7.877960
605,5.527781,11.512189
606,-0.369705,6.762133
607,-2.031288,5.620683
608,5.061214,2.335387
609,0.191414,5.307854
610,1.885871,3.157208
611,3.286789,-1.802280
612,-5.808338,-3.435586
613,-7.178017,-4.840978
614,-9.170369,-21.873161
615,-8.569868,-4.249649
616,-9.849728,-2.986200
617,-9.627264,-4.533734
618,-9.040118,-20.789073
619,-9.636803,-20.655970
620,-4.232519,-24.598135
621,-9.257630,-9.097071
622,-12.059622,-3.752296
623,-9.187742,-7.793784
624,-12.660589,-9.604030
625,-12.203540,-7.457978
626,-12.802659,-12.780975
627,-10.400003,-4.551977
628,-10.214253,-3.118161
629,-10.079458,-2.386102
630,-10.696391,-7.445855
631,-10.132717,-12.549803
632,-13.190980,-14.583740
633,-10.043303,-15.505288
634,-10.797441,-14.748595
635,-13.003682,-13.331184
636,-8.725066,-17.785317
637,-8.501604,-3.897752
638,-9.268489,-5.092853
639,-6.693315,-2.521381
640,-3.044879,2.809842
641,8.676377,5.582733
642,-2.379148,4.732204
643,9.098249,5.588658
644,6.118246,5.163886
645,4.146676,7.667997
646,0.475411,9.310058
647,3.206696,10.656061
648,2.865072,9.795378
649,1.323138,9.753347
650,7.583172,17.941290
651,-1.452941,17.745903
652,-5.634719,18.572518
653,-4.871837,20.350772
654,-4.931833,20.373806
655,-3.423001,20.064238
656,8.361535,17.872110
657,6.153751,11.971785
658,-3.848038,7.232130
659,4.901259,12.668513
660,7.981209,11.706139
661,1.675840,8.368882
662,0.365352,5.795921
663,11.282798,6.544334
664,-2.586990,6.100753
665,-0.733863,3.984075
666,4.385028,1.895968
667,-2.581203,4.324369
668,3.344048,-0.069254
669,-4.632955,-4.691150
670,-7.577393,-5.366450
671,-10.564228,-19.970872
672,-7.621849,-16.250757
673,-10.841554,-4.551002
674,-11.042147,-19.380505
675,-11.498839,-12.376256
676,-10.869457,-4.564022
677,-9.860932,-15.027788
678,-10.368840,-13.758695
679,-9.039906,-6.731858
680,-10.770207,-4.360899
681,-5.570508,-25.968029
682,-9.639332,-9.592583
683,-11.908780,-13.654005
684,-7.346305,-25.266155
685,-7.022528,-0.798958
686,1.219165,-20.562276
687,9.188606,-10.171348
688,-3.803673,-1.192530
689,-6.117868,-0.295482
690,-0.014367,-3.102355
691,3.572138,0.490238
692,3.281110,2.203255
693,-2.592275,-1.409237
694,-7.354037,0.031271
695,-1.168609,-5.695711
696,3.885602,1.459650
697,3.407849,2.386909
698,6.611068,3.738313
699,7.260812,4.173316
700,0.850707,4.644679
701,7.055844,3.559286
702,8.477468,5.510198
703,2.166680,3.868359
704,16.447938,7.634305
705,6.209706,11.092307
706,-2.597399,6.552538
707,1.479258,4.976746
708,4.797214,6.439313
709,0.091643,4.402375
710,10.914034,7.287097
711,0.955906,9.371174
712,2.098538,10.660743
713,1.603779,8.947002
714,-1.379586,8.561916
715,2.605080,8.708652
716,9.475399,8.464315
717,8.088938,8.743369
718,5.544036,11.119565
719,9.130291,6.767373
720,5.835176,4.712619
721,9.901645,5.684284
722,8.450559,4.915804
723,15.727984,7.166209
724,-3.930157,4.866114
725,-3.430876,-2.252884
726,-7.550306,-10.966998
727,-4.978110,-6.002327
728,-12.027888,-15.419093
729,-8.584236,-8.859763
730,-10.631024,-18.774176
731,-15.120822,-13.518481
732,-11.879880,-9.475876
733,-7.607469,-19.668575
734,-10.504932,-20.695584
735,-7.717423,-12.402135
736,-11.003490,-4.264508
737,-11.523061,-19.474112
738,-8.811808,-5.446907
739,-10.220417,-4.298439
740,-10.846856,-3.811304
741,-12.671446,-18.702306
742,-12.117206,-4.496273
743,-11.125402,-9.526383
744,-13.478491,-20.140509
745,-8.250612,-10.881803
746,-9.350015,-6.938588
747,-3.269927,-29.012207
748,-9.742393,-19.720877
749,-7.076285,-18.572561
750,-9.204669,-23.011889
751,-8.803801,-7.320433
752,-9.144056,-16.626974
753,-2.913826,-18.714384
754,1.702232,0.388946
755,-0.497652,4.138275
756,5.853815,4.838302
757,1.704229,5.816480
758,0.191320,5.387443
759,16.421812,9.903964
760,-0.458749,9.396127
761,0.417741,9.668647
762,0.472260,10.048943
763,6.650039,12.605738
764,-1.990665,10.799480
765,6.043795,19.514493
766,-11.367461,29.948671
767,-5.682407,19.599832
768,-5.975622,19.381428
769,-3.226419,19.603233
770,1.970847,11.121330
771,6.673431,11.390518
772,-1.456833,9.795291
773,-0.455483,9.741427
774,5.369232,10.157988
775,14.357725,13.156429
776,3.802080,6.047061
777,0.382191,3.924428
778,14.157850,5.476438
779,8.787231,4.787916
780,3.284946,2.353693
781,-2.237611,-0.926919
782,-3.256523,-6.176455
783,-4.826932,-19.315668
784,-10.451765,-18.667215
785,-11.726517,-14.914794
786,-7.894529,-19.657733
787,-2.490731,-30.117060
788,-11.551305,-19.574849
789,-9.642854,-10.020151
790,-8.846440,-5.860986
791,-12.932758,-7.658446
792,-11.308845,-3.357433
793,-9.210788,-6.779765
794,-13.004581,-17.667329
795,-9.783103,-3.467664
796,-7.536218,-17.296685
797,-11.257686,-9.804725
798,-11.037605,-10.946398
799,-1.719091,-5.845646
800,-3.515873,-21.884604
801,-1.703179,-5.739276
802,-2.042195,-5.608742
803,-3.102904,-0.605814
804,-3.762728,2.870528
805,2.764915,-2.407260
806,3.543434,1.411481
807,4.353595,1.103750
808,-3.708652,-0.256350
809,-4.239316,0.385317
810,1.784468,2.391725
811,2.891330,3.115326
812,0.293579,3.883291
813,7.354316,3.993189
814,-1.659075,4.603399
815,-2.542424,5.740080
816,6.665695,5.436241
817,2.674336,4.463915
818,1.194115,4.409720
819,2.648211,3.967232
820,8.825751,5.855393
821,15.971727,8.325955
822,11.555050,5.151276
823,6.754117,11.134672
824,1.702947,8.409363
825,5.532533,6.367188
826,2.273385,10.411394
827,-0.627211,9.021496
828,5.844659,11.351473
829,1.219579,9.006390
830,-2.701317,6.609433
831,-1.518515,5.847316
832,6.874044,5.485918
833,-2.527474,6.510783
834,5.998825,5.271077
835,3.278953,3.491248
836,8.579116,5.672340
837,5.414830,4.005392
838,-0.640785,-4.752942
839,-7.169090,-3.394427
840,-8.956728,-16.925965
841,-8.448217,-19.604784
842,-11.331799,-11.890578
843,-9.903096,-16.157336
844,-11.428488,-16.720070
845,-9.880529,-2.706339
846,-3.237671,-30.020014
847,-15.053594,-12.348795
848,-10.795715,-5.610942
849,-11.892009,-8.933858
850,-8.607244,-19.201435
851,-13.072540,-18.249527
852,-9.927123,-3.636002
853,-14.224131,-16.306904
854,-12.922231,-4.925136
855,-9.781860,-9.082996
856,-7.816979,-20.855788
857,-9.948444,-17.600571
858,-10.805358,-17.832888
859,-4.715918,-19.101730
860,-12.069580,-17.197506
861,-13.068625,-8.811772
862,-7.735198,-24.453886
863,-9.617303,-13.677890
864,-9.720139,-7.076751
865,-7.087243,-20.420136
866,-9.479115,-5.653295
867,-8.370969,-0.945427
868,-2.358302,0.053116
869,7.632524,4.941740
870,3.369517,4.970617
871,1.995427,4.789617
872,-0.360496,3.298925
873,-1.303288,6.420771
874,6.623242,11.510749
875,1.591897,11.085106
876,6.276017,17.323496
877,1.836888,11.544628
878,-2.649813,11.370637
879,-2.889881,16.773517
880,-4.051665,20.263362
881,-11.339111,29.528968
882,-5.950504,18.765355
883,-3.002695,18.014072
884,6.381053,16.386765
885,-2.262949,8.074206
886,3.904441,9.982225
887,0.576566,10.224776
888,5.307842,9.728837
889,17.199849,1.832912
890,7.994715,4.998809
891,6.040424,4.404985
892,-0.165222,4.260525
893,4.964199,3.084752
894,-3.282434,1.332510
895,-3.725146,-1.567128
896,-6.280033,-21.883004
897,-10.918905,-10.856992
898,-7.862363,-23.753077
899,-7.786991,-5.382417
900,-11.539801,-13.295435
901,-10.716485,-10.533353
902,-10.340343,-21.286659
903,-11.154743,-10.527369
904,-9.237170,-20.887525
905,-12.904181,-13.384159
906,-10.757504,-20.798533
907,-13.536266,-14.875788
908,-4.061221,-29.239098
909,-9.584516,-2.009386
910,-11.647964,-13.311544
911,-12.524734,-14.283124
912,-10.866054,-4.520999
913,-3.213126,-1.574821
914,-6.236499,-0.567532
915,-2.212192,-4.303168
916,4.608274,0.034183
917,-2.965740,-0.521868
918,-2.565390,2.093605
919,12.432127,6.989220
920,3.353190,0.090070
921,14.247119,7.507910
922,7.578289,4.337435
923,-2.493276,4.380961
924,-1.163203,5.262636
925,17.179892,8.579047
926,4.414973,2.637527
927,-0.818687,4.933619
928,8.966976,6.781267
929,2.432000,4.715415
930,1.355196,3.873815
931,1.674130,3.714165
932,1.151516,5.615199
933,17.847341,9.461338
934,9.548896,7.131760
935,4.724757,3.561090
936,2.858753,10.389431
937,7.731882,7.709870
938,5.919390,10.642180
939,-1.721891,8.754248
940,1.616066,10.310225
941,4.820096,9.850614
942,-2.087631,9.082038
943,-0.789233,8.317520
944,5.155198,6.533288
945,8.467163,5.826502
946,6.269372,5.506522
947,0.444274,7.131109
948,-2.706973,5.390928
949,7.456858,7.167235
950,2.089948,4.124668
951,2.116447,2.300736
952,-2.133894,-7.071105
953,-4.154225,-6.119655
954,-12.649630,-5.222971
955,-6.046182,-20.696013
956,-2.598303,-19.403418
957,-10.293293,-19.130477
958,-9.037173,-18.454626
959,-6.562338,-23.999638
960,-9.523944,-1.514619
961,-11.106810,-15.720788
962,-8.938932,-19.217346
963,-10.164383,-4.197819
964,-11.069087,-14.107251
965,-9.084075,-10.741021
966,-11.131570,-7.582244
967,-9.795867,-17.958103
968,-13.269351,-18.508594
969,-9.527179,-4.810747
970,-9.155267,-11.729619
971,-7.035617,-23.294366
972,-12.431445,-13.696374
973,-11.146151,-11.393337
974,-6.696285,-20.440778
975,-9.953156,-11.991736
976,-7.087585,-8.097722
977,2.464333,-30.244783
978,-7.974513,-7.190644
979,-8.078394,-10.861612
980,-6.321644,-20.232230
981,-1.511231,-6.286948
982,3.902387,-1.204782
983,5.215028,1.535373
984,9.032897,5.718483
985,3.456574,5.303839
986,3.395244,7.886809
987,5.539077,6.955452
988,-2.804586,8.362954
989,12.895128,13.234616
990,4.961620,15.715868
991,-2.015574,10.377766
992,-3.998623,15.865381
993,-2.906756,20.167316
994,-5.467931,20.140547
995,-5.364372,20.368298
996,-2.975598,20.759672
997,-3.333757,15.735941
998,-0.187448,11.258922
999,0.889104,10.907141
1000,5.754148,6.839230
1001,11.145141,10.644615
1002,2.416551,10.613082
1003,2.252616,7.021418
1004,7.730497,8.215087
1005,6.823159,5.498220
1006,-2.339228,5.119444
1007,5.871140,3.324459
1008,1.680505,-2.555290
1009,-6.212345,-6.287389
1010,-7.466778,-3.873947
1011,-6.550105,-6.128414
1012,-10.719882,-8.374854
1013,-1.816888,-27.200478
1014,-2.132773,-29.266498
1015,-11.259148,-13.295225
1016,-7.449512,-18.856959
1017,-13.218905,-17.484605
1018,-10.369384,-13.218717
1019,-9.685432,-19.413214
1020,-9.587428,-10.558985
1021,-13.146190,-9.007115
1022,-11.322929,-19.206630
1023,-13.058592,-17.383117
1024,-9.437146,-1.908110
1025,-12.443104,-19.443314
1026,-6.716941,-27.053465
1027,-4.478557,-1.164646
1028,5.344781,3.254988
1029,8.145436,-8.390345
1030,6.263661,-2.519412
1031,4.449192,-1.696259
1032,2.142773,3.706058
1033,0.321554,4.277428
1034,6.438926,3.887345
1035,7.020576,4.209092
1036,5.892593,3.232475
1037,7.164554,4.651171
1038,3.387796,2.967644
1039,-4.230978,6.277397
1040,9.405602,5.307812
1041,1.048578,4.446339
1042,1.825644,3.127626
1043,5.244091,7.657415
1044,-1.501996,6.465654
1045,10.305875,8.758404
1046,4.846523,5.401492
1047,3.595518,7.321383
1048,-3.189063,6.186981
1049,2.901284,4.196479
1050,5.979298,6.718667
1051,-3.939900,6.583670
1052,12.424285,9.892504
1053,0.439648,9.750495
1054,-1.418040,8.695699
1055,-2.525231,7.886476
1056,-3.958478,7.375531
1057,-3.033300,7.272114
1058,4.376556,3.501049
1059,4.286607,4.347265
