500	
698.52	0.363396	-0.203361
699.51	0.274188	0.0452359
700.42	0.0453228	-0.0319024
700.52	0.3884	-0.236971
701.53	0.0265011	-0.0769273
702.54	0.214823	-0.213927
703.54	0.149671	-0.122541
704.54	0.161937	-0.0655312
705.52	0.0689499	-0.0590512
706.49	0.04413	-0.00175774
707.50	0.0108462	-0.0249674
708.50	0.0278925	-0.00269205
709.49	-0.395584	0.426697
710.50	-0.197252	0.229901
711.51	-0.107506	0.117641
712.52	0.0328494	-0.0249819
713.53	0.0123496	-0.133944
714.53	0.323602	-0.150568
715.58	0.792201	-0.137604
716.55	0.293857	-0.225057
717.54	0.265348	-0.118571
717.59	0.708861	-0.151328
718.55	0.415359	0.222015
719.48	-0.514956	0.436498
719.55	0.408714	0.189534
720.48	-0.386858	0.336896
720.56	0.205113	0.109695
721.50	-0.366608	0.342193
721.56	0.112031	0.0372768
722.52	0.244605	-0.0431088
723.52	0.027431	0.0109393
724.53	0.149598	-0.0856526
725.53	0.0701428	-0.130787
726.44	0.031536	-0.0271803
726.56	0.376754	-0.393865
727.55	0.25876	-0.306238
728.57	0.065874	-0.307819
729.57	0.023655	-0.264444
730.58	-0.0278354	-0.242838
731.52	0.112713	0.0296933
731.58	-0.00435176	-0.150386
732.55	0.0771098	-0.0302242
733.50	-0.602345	0.478752
734.50	-0.562041	0.447182
735.51	-0.386052	0.322482
736.52	-0.0194606	0.0815195
737.52	-0.0171633	0.0659822
738.52	0.417915	-0.129746
739.53	0.380456	-0.157905
740.54	0.348511	-0.149507
740.61	0.000832311	-0.135286
741.55	0.111532	-0.215076
742.55	0.100276	-0.0818916
743.48	-0.0650647	0.0654579
743.56	0.107582	-0.123265
743.61	0.114427	-0.116442
744.45	0.0441069	-0.000555798
744.57	0.123686	0.143373
745.50	-0.51908	0.499896
745.57	0.146296	0.0564243
746.54	0.140185	0.109097
747.52	-0.101529	0.456852
747.58	0.225156	0.202674
748.43	-0.0301534	0.0475794
748.53	-0.241684	0.335405
749.54	-0.272123	0.228004
750.56	0.142258	-0.169983
751.56	0.154025	-0.0904752
752.57	0.0124963	-0.11969
753.57	-0.0458504	-0.174916
754.50	0.0495053	-0.0517105
754.59	-0.307355	-0.196955
755.59	-0.25489	-0.155924
756.60	-0.267418	-0.182212
757.50	-0.0205689	0.0064766
757.61	-0.261205	-0.176295
758.52	0.198335	-0.101843
758.61	-0.197338	-0.104764
759.52	-0.0337013	0.141435
759.58	-0.0367249	-0.0300778
760.53	0.558404	-0.0960959
761.35	0.10121	-0.0248025
761.53	0.453503	0.00134639
762.52	0.240167	0.238115
763.53	0.308692	0.250191
764.54	0.112582	0.14175
765.54	0.0523521	0.0502887
766.55	-0.145639	0.231944
767.56	-0.171557	0.283385
768.56	-0.182696	0.262789
769.57	-0.101207	0.106527
770.52	0.583557	-0.0951497
770.58	-0.325284	-0.0748916
771.52	0.202255	0.0762389
771.59	-0.258888	-0.119665
772.54	-0.175173	0.227278
772.60	-0.0615918	-0.160518
773.55	0.0425435	0.0906293
